사건번호,사건명,해양사고종류1,해양사고발생(년도),해양사고발생(월),해양사고발생(일),해양사고발생(시),해양사고발생(분),해양사고발생시간대,계절,해양사고장소(위),해양사고장소(위도),해양사고장소(위분),해양사고장소(위초),해양사고장소(경),해양사고장소(경도),해양사고장소(경분),해양사고장소(경초),해양사고발생지역(대),해양사고발생지역(중),해양사고발생지역(통계용),선박명,선박중요도,선박톤수,톤수범위(통계용),선박용도(통계용),사망합계(선원_여객_기타),실종합계(선원_여객_기타),인명피해합계(사망_실종),부상합계(선원_여객_기타),총합(사망_실종_부상)
IC-2020-0601,모터보트 폴라리스호 추진축계손상사건,추진축계손상,2020,9,1,8,59,8-12시,가을,북,N36,19,8,동,E126,28,21,국내,서해영해,서해영해,폴라리스호,1,0.3,1톤미만,수상레저기구,0,0,0,0,0
IC-2020-0602,모터보트 마은호 추진축계손상사건,추진축계손상,2020,9,1,12,31,12-16시,가을,북,N36,27,56,동,E126,15,51,국내,서해영해,서해영해,마은호,1,1.96,1~2톤미만,수상레저기구,0,0,0,0,0
IC-2020-0603,어선 행복호 선원실종사건,안전사고,2020,9,3,22,31,20-24시,가을,북,N37,10,0,동,E126,26,0,국내,서해영해,서해영해,행복호,1,24,20~25톤미만,어선,0,1,1,0,1
IC-2020-0604,어선 파라호 전복사건,전복,2020,9,3,5,25,4-8시,가을,북,N36,56,48,동,E126,49,41,국내,개항 및 진입수로,"평택항, 당진항", 파라호,1,4.52,3~5톤미만,어선,0,0,0,0,0
IC-2020-0605,무등록선 화성3호 전복사건,전복,2020,9,3,5,25,4-8시,가을,북,N36,56,48,동,E126,49,41,국내,개항 및 진입수로,"평택항, 당진항",화성3호,1,1,1~2톤미만,어선,0,0,0,0,0
IC-2020-0606,무등록선 파라2호 전복사건,전복,2020,9,3,5,25,4-8시,가을,북,N36,56,48,동,E126,49,41,국내,개항 및 진입수로,"평택항, 당진항",파라2호,1,1,1~2톤미만,어선,0,0,0,0,0
IC-2020-0607,무등록선 수복3호 침몰사건,침몰,2020,9,3,5,25,4-8시,가을,북,N36,56,48,동,E126,49,41,국내,개항 및 진입수로,"평택항, 당진항",수복3호,1,1,1~2톤미만,어선,0,0,0,0,0
IC-2020-0608,모터보트 코리아투어호 화재사건,화재,2020,9,3,7,0,4-8시,가을,북,N00,0,0,동,E000,0,0,국내,개항 및 진입수로,기타개항,코리아투어호,1,2.4,2~3톤미만,수상레저기구,0,0,0,0,0
IC-2020-0609,무등록선 아랑3호 침몰사건,침몰,2020,9,3,6,25,4-8시,가을,북,N37,55,16,동,E124,37,26,국내,서해영해,서해영해,아랑3호,1,0.5,1톤미만,어선,0,0,0,0,0
IC-2020-0610,낚시어선 금바다호 조타장치손상사건,조타장치손상,2020,9,1,13,12,12-16시,가을,북,N36,21,19,동,E126,26,8,국내,서해영해,서해영해,금바다호,1,4.93,3~5톤미만,어선,0,0,0,0,0
